Marilyn Abbott,department,Music,interests,"['learners', 'pedagogical', 'practices', 'learning', 'performance', 'cultural', 'test', 'cognitive', 'equity', 'language', 'teaching', 'reading', 'hearing', 'assessment', 'english', 'deaf', 'policy', 'rights', 'postsecondary', 'citizenship', 'african', 'globalization', 'social', 'living', 'democracy', 'knowledge', 'africa', 'international', 'decolonization', 'participation', 'recruitment', 'comparative', 'barriers', 'postcolonial', 'human', 'youth', 'ethnoracial', 'multiculturalism', 'global', 'governance', 'education', 'literature', 'oratorio', 'diction', 'lyric', 'chamber', 'orchestral', 'studio', 'song', 'music', 'pedagogy', 'vocal', 'art', 'opera']"
Yasmeen Abu-Laban,department,Political Science,interests,"['security', 'slavery', 'public', 'border', 'immigration', 'ethnic', 'nationalism', 'politics', 'israel', 'conferences', 'america', 'canada', 'racialization', 'europe', 'gender', 'antiracism', 'colour', 'racism', 'implications', 'employment', 'space', 'universal']"
Annalise Acorn,department,Law,interests,"['philosophy', 'criminal', 'legal', 'justice', 'context', 'law', 'restorative', 'conflict']"
Vic Adamovicz,department,"Accounting, Operations and Information Systems",interests,"['demand', 'econometrics', 'consumer', 'economics', 'forest', 'applied', 'environmental', 'natural', 'behaviour']"
Eric M. Adams,department, ,interests,"['history', 'labour']"
Catherine Adams,department,Secondary Education,interests,"['qualitative', 'china', 'computing', 'scholarship', 'media', 'faculty', 'inquiry', 'curriculum', 'beijing', 'science', 'students', 'graduate', 'digital', 'system', 'technology', 'collaborative', 'phenomenology', 'ecology', 'drawing', 'editor', 'theoretical', 'archive', 'interchange', 'ethics', 'integration', 'establishment', 'program', 'educational', 'management', 'dedicated']"
Laurie Adkin,department,East Asian Studies,interests,"['collaborator', 'processes', 'coinvestigator', 'debtor', 'climate', 'alliance', 'role', 'government', 'review', 'entitled', 'municipal', 'federal', 'land', 'change', 'stakeholder', 'toronto', 'policymaking', 'family', 'political', 'production', 'alberta', 'generated', 'funding', 'cluster', 'citizen', 'kule', 'dialogue', 'east', 'monks', 'perspective', 'material', 'school', 'decline', 'introductory', 'holistic', 'japan', 'culture', 'direction', 'chinese', 'assets', 'icons', 'historian', 'network', 'violence', 'construct', 'developments', 'generate', 'translation', 'tradition', 'premodern', 'memory', 'courses', 'future', 'leading', 'continent', 'peripheries', 'power', 'question', 'theme', 'centers', 'asia', 'yale', 'intersection', 'perceived', 'lay', 'desire', 'secular', 'contemporary', 'configurations', 'humanities', 'harvard', 'complexity', 'enable', 'monastic', 'construction', 'ideological', 'century', 'japanese', 'understanding', 'inspired']"
Felipe Aguerrevere,department, 
Rob Aitken,department, ,interests,"['critical', 'economy', 'finance', 'financial']"
Brandon Alakas,department,Augustana,interests,"['reimagining', 'medievalism', 'writing', 'reformation', 'medieval', 'devotional', 'drama', 'cooking']"
Isabel Altamirano,department,Native Studies,interests,"['women', 'feminism', 'mapping', 'indigenous', 'mexico', 'water']"
Henry An,department, ,interests,"['adoption', 'organization', 'genetically', 'industrial', 'food']"
Sven Anders,department, ,interests,"['marketing', 'safety', 'market']"
Dana Andersen,department,Economics,interests,"['resources', 'energy']"
